JP07a,JP08a,BS04fb,JP05a,BS04fc,JP05b,JP07a_GL03_01,JP07a_GL03_03,GL05c_01,GE23c_01,GE09eR_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,JP05a_01,JP05a_02,JP05a_03,GE05ku_01,GE05kw_01,JP02j_BS09_01,JP02j_BS09_02,JP06f_GE24_01,JP06f_GE24_02,JP05b_01,JP05b_02,JP05b_03,GE05kz_01,GE05kB_01,JP02k_BS09_01,JP02k_BS09_02,BS04fb_01,BS04fb_02,BS04fb_03,BS04fc_01,BS04fc_02,BS04fc_03
2627,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2628,,,,,,89,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2628,1.0,,,,,,,,,,"March 10th Slip No. 463 Minami Co., Ltd.",10A100020,Cash and deposits,,,,703590.0,0.0,O,Exempt,10A100090,Accounts receivable - trade,,,,703590.0,0.0,O,Exempt,,,,,,
2628,1.0,,1.0,,,,,,,,,,,30,Mitsui Nagoya,sub-account,,,,,,,,,,,,,,,,,,,
2628,1.0,,,,1.0,,,,,,,,,,,,,,,,,,19,"Minami Co., Ltd.",sub-account,,,,,,,,,,
2628,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2628,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2628,2.0,,,,,,,,,,"March 10th Slip No. 463 Minami Co., Ltd.",10E200690,Commission expenses,,,,735.0,66.0,S10,Standard 10%,10A100090,Accounts receivable - trade,,,,735.0,0.0,O,Exempt,,,,,,
2628,2.0,,,,1.0,,,,,,,,,,,,,,,,,,19,"Minami Co., Ltd.",sub-account,,,,,,,,,,
2628,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,
2628,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2629,,,,,,90,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2629,1.0,,,,,,,,,,March 10th Slip No. 464 Kameda Department Store,10A100060,Notes receivable - trade,,,,9610589.0,0.0,O,Exempt,10A100090,Accounts receivable - trade,,,,9610589.0,0.0,O,Exempt,,,,,,
2629,1.0,,,,1.0,,,,,,,,,,,,,,,,,,28,Kameda Department Store,sub-account,,,,,,,,,,
2629,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2629,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2630,,,,,,91,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2630,1.0,,,,,,,,,,"March 10th Slip No. 348 Check Co., Ltd.",10B100040,Accounts payable - trade,,,,2513016.0,0.0,O,Exempt,10B100030,Notes payable - trade,,,,2513016.0,0.0,O,Exempt,,,,,,
2630,1.0,,1.0,,,,,,,,,,,3,"Check Co., Ltd.",sub-account,,,,,,,,,,,,,,,,,,,
2630,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2630,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2631,,,,,,92,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2631,1.0,,,,,,,,,,"March 10th Slip No. 349 Yamashita Co., Ltd.",10B100040,Accounts payable - trade,,,,431827.0,0.0,O,Exempt,10A100020,Cash and deposits,,,,431827.0,0.0,O,Exempt,,,,,,
2631,1.0,,1.0,,,,,,,,,,,8,"Yamashita Co., Ltd.",sub-account,,,,,,,,,,,,,,,,,,,
2631,1.0,,,,1.0,,,,,,,,,,,,,,,,,,20,Mizuho Main Branch,sub-account,,,,,,,,,,
2631,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2631,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2632,,,,,,129,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2632,1.0,,,,,,,,,,Rent Payment,10E200720,Rent expenses on land and buildings,,,,399000.0,36272.0,S10,Standard 10%,10A100020,Cash and deposits,,,,399000.0,0.0,O,Exempt,,,,,,
2632,1.0,,,,1.0,,,,,,,,,,,,,,,,,,30,Mitsui Nagoya,sub-account,,,,,,,,,,
2632,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,
2632,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2633,,,,,,136,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2633,1.0,,,,,,,,,,Bill Due Date Check,10B100030,Notes payable - trade,,,,2823907.0,0.0,O,Exempt,10A100020,Cash and deposits,,,,2823907.0,0.0,O,Exempt,,,,,,
2633,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1,Mizuho Bank,sub-account,,,,,,,,,,
2633,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2633,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2634,,,,,,143,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2634,1.0,,,,,,,,,,Inspection Fee,10E201120,Vehicle expenses,,,,12500.0,1136.0,S10,Standard 10%,10A100020,Cash and deposits,,,,12500.0,0.0,O,Exempt,,,,,,
2634,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2634,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2635,,,,,,150,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2635,1.0,,,,,,,,,,Golf Play Fee,10E200150,Entertainment expenses,,,,8400.0,763.0,S10,Standard 10%,10A100020,Cash and deposits,,,,8400.0,0.0,O,Exempt,,,,,,
2635,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
2635,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2636,,,,,,162,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2636,1.0,,,,,,,,,,Meeting Meal Cost,10E201130,Meeting expenses,,,,24995.0,2272.0,S10,Standard 10%,10A100020,Cash and deposits,,,,24995.0,0.0,O,Exempt,,,,,,
2636,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2636,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2637,,,,,,167,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2637,1.0,,,,,,,,,,Rent Payment,10E200720,Rent expenses on land and buildings,,,,630000.0,57272.0,S10,Standard 10%,10A100020,Cash and deposits,,,,630000.0,0.0,O,Exempt,,,,,,
2637,1.0,,,,1.0,,,,,,,,,,,,,,,,,,50,Fukuoka Kitakyushu,sub-account,,,,,,,,,,
2637,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
2637,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2637,2.0,,,,,,,,,,Telephone Cost,10E200180,Communication expenses,,,,175229.0,15929.0,S10,Standard 10%,10A100020,Cash and deposits,,,,175229.0,0.0,O,Exempt,,,,,,
2637,2.0,,,,1.0,,,,,,,,,,,,,,,,,,50,Fukuoka Kitakyushu,sub-account,,,,,,,,,,
2637,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
2637,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2638,,,,,,168,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2638,1.0,,,,,,,,,,Wired (Cable),10E201270,Miscellaneous expenses,,,,6000.0,545.0,S10,Standard 10%,10B100630,Accounts payable - other,,,,48858.0,0.0,O,Exempt,,,,,,
2638,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
2638,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2638,2.0,,,,,,,,,,Security Fee,10E201270,Miscellaneous expenses,,,,42858.0,3896.0,S10,Standard 10%,,,,,,,,,,,,,,,
2638,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
2639,,,,,,85,2022-03-11,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2639,1.0,,,,,,,,,,Telephone Cost,10E200180,Communication expenses,,,,56347.0,5122.0,S10,Standard 10%,10A100020,Cash and deposits,,,,56347.0,0.0,O,Exempt,,,,,,
2639,1.0,,,,1.0,,,,,,,,,,,,,,,,,,30,Mitsui Nagoya,sub-account,,,,,,,,,,
2639,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,
2639,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2640,,,,,,112,2022-03-11,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2640,1.0,,,,,,,,,,Telephone Cost,10E200180,Communication expenses,,,,268243.0,24385.0,S10,Standard 10%,10A100020,Cash and deposits,,,,268243.0,0.0,O,Exempt,,,,,,
2640,1.0,,,,1.0,,,,,,,,,,,,,,,,,,40,Mitsubishi Tokyo Umeda,sub-account,,,,,,,,,,
2640,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2640,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2641,,,,,,68,2022-03-12,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2641,1.0,,,,,,,,,,Battery Cost,10E201270,Miscellaneous expenses,,,,630.0,57.0,S10,Standard 10%,10A100020,Cash and deposits,,,,630.0,0.0,O,Exempt,,,,,,
2641,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2641,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2642,,,,,,73,2022-03-12,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2642,1.0,,,,,,,,,,Food and Beverage Cost Izakaya Kurinoki 2 People,10E200150,Entertainment expenses,,,,9750.0,886.0,S10,Standard 10%,10A100020,Cash and deposits,,,,9750.0,0.0,O,Exempt,,,,,,
2642,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2642,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2643,,,,,,86,2022-03-12,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2643,1.0,,,,,,,,,,Postage Cost,10E200180,Communication expenses,,,,8000.0,727.0,S10,Standard 10%,10A100020,Cash and deposits,,,,8000.0,0.0,O,Exempt,,,,,,
2643,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,
2643,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2644,,,,,,21,2022-03-13,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2644,1.0,,,,,,,,,,JR,10E201230,Travel and transportation expenses,,,,89505.0,8136.0,S10,Standard 10%,10A100020,Cash and deposits,,,,89505.0,0.0,O,Exempt,,,,,,
2644,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
2644,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2645,,,,,,144,2022-03-13,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2645,1.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,2382.0,216.0,S10,Standard 10%,10A100020,Cash and deposits,,,,17531.0,0.0,O,Exempt,,,,,,
2645,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2645,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2645,2.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,7487.0,680.0,S10,Standard 10%,,,,,,,,,,,,,,,
2645,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2645,3.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,7662.0,696.0,S10,Standard 10%,,,,,,,,,,,,,,,
2645,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2646,,,,,,158,2022-03-13,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2646,1.0,,,,,,,,,,Airline Ticket,10E201230,Travel and transportation expenses,,,,57000.0,5181.0,S10,Standard 10%,10A100020,Cash and deposits,,,,57000.0,0.0,O,Exempt,,,,,,
2646,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2646,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2647,,,,,,17,2022-03-14,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2647,1.0,,,,,,,,,,Washer Fluid,10E201120,Vehicle expenses,,,,368.0,33.0,S10,Standard 10%,10A100020,Cash and deposits,,,,368.0,0.0,O,Exempt,,,,,,
2647,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
2647,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2648,,,,,,46,2022-03-14,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2648,1.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,2341.0,212.0,S10,Standard 10%,10A100020,Cash and deposits,,,,11988.0,0.0,O,Exempt,,,,,,
2648,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2648,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2648,2.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,4767.0,433.0,S10,Standard 10%,,,,,,,,,,,,,,,
2648,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2648,3.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,4880.0,443.0,S10,Standard 10%,,,,,,,,,,,,,,,
2648,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2649,,,,,,51,2022-03-14,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2649,1.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,1505.0,136.0,S10,Standard 10%,10A100020,Cash and deposits,,,,7176.0,0.0,O,Exempt,,,,,,
2649,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2649,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2649,2.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,620.0,56.0,S10,Standard 10%,,,,,,,,,,,,,,,
2649,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2649,3.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,810.0,73.0,S10,Standard 10%,,,,,,,,,,,,,,,
2649,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2649,4.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,1096.0,99.0,S10,Standard 10%,,,,,,,,,,,,,,,
2649,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2649,5.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,1096.0,99.0,S10,Standard 10%,,,,,,,,,,,,,,,
2649,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2649,6.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,1096.0,99.0,S10,Standard 10%,,,,,,,,,,,,,,,
2649,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2649,7.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,953.0,86.0,S10,Standard 10%,,,,,,,,,,,,,,,
2649,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2650,,,,,,61,2022-03-14,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2650,1.0,,,,,,,,,,Telephone Cost,10E200180,Communication expenses,,,,134697.0,12245.0,S10,Standard 10%,10A100020,Cash and deposits,,,,134697.0,0.0,O,Exempt,,,,,,
2650,1.0,,,,1.0,,,,,,,,,,,,,,,,,,20,Mizuho Main Branch,sub-account,,,,,,,,,,
2650,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2650,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2651,,,,,,82,2022-03-14,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2651,1.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,31405.0,2855.0,S10,Standard 10%,10B100630,Accounts payable - other,,,,31405.0,0.0,O,Exempt,,,,,,
2651,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,
2651,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2652,,,,,,4,2022-03-15,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2652,1.0,,,,,,,,,,Advertising Expense,10E200050,Advertising expenses,,,,31500.0,2863.0,S10,Standard 10%,10B100630,Accounts payable - other,,,,31500.0,0.0,O,Exempt,,,,,,
2652,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
2652,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2653,,,,,,59,2022-03-15,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2653,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,42858.0,3896.0,S10,Standard 10%,10A100020,Cash and deposits,,,,73335.0,0.0,O,Exempt,,,,,,
2653,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2653,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2653,2.0,,,,,,,,,,JR,10E201230,Travel and transportation expenses,,,,30477.0,2770.0,S10,Standard 10%,,,,,,,,,,,,,,,
2653,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2654,,,,,,74,2022-03-15,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2654,1.0,,,,,,,,,,Food and drink fee Snack Karin,10E200150,Entertainment expenses,,,,21650.0,1968.0,S10,Standard 10%,10A100020,Cash and deposits,,,,21650.0,0.0,O,Exempt,,,,,,
2654,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2654,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2655,,,,,,82,2022-03-15,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2655,1.0,,,,,,,,,,March Salary Others 0060 Part-time and Temporary Workers,10E200520,Other salaries,,,,268960.0,0.0,O,Exempt,10A100020,Cash and deposits,,,,258617.0,0.0,O,Exempt,,,,,,
2655,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2655,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2655,2.0,,,,,,,,,,March Salary Others 0060 Part-time and Temporary Workers,,,,,,,,,,10B100690,Deposits received,,,,630.0,0.0,O,Exempt,,,,,,
2655,2.0,,,,1.0,,,,,,,,,,,,,,,,,,3,Withholding Tax,sub-account,,,,,,,,,,
2655,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2655,3.0,,,,,,,,,,March Salary Others 0060 Part-time and Temporary Workers,,,,,,,,,,10B100690,Deposits received,,,,9713.0,0.0,O,Exempt,,,,,,
2655,3.0,,,,1.0,,,,,,,,,,,,,,,,,,9,Others,sub-account,,,,,,,,,,
2655,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2656,,,,,,93,2022-03-15,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2656,1.0,,,,,,,,,,"March 15th Slip No. 465 Goketsu Co., Ltd.",10A100020,Cash and deposits,,,,2046547.0,0.0,O,Exempt,10A100090,Accounts receivable - trade,,,,2046547.0,0.0,O,Exempt,,,,,,
2656,1.0,,1.0,,,,,,,,,,,50,Fukuoka Kitakyushu,sub-account,,,,,,,,,,,,,,,,,,,
2656,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1,"Goketsu Co., Ltd.",sub-account,,,,,,,,,,
2656,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2656,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2656,2.0,,,,,,,,,,"March 15th Slip No. 465 Goketsu Co., Ltd.",10E200690,Commission expenses,,,,840.0,76.0,S10,Standard 10%,10A100090,Accounts receivable - trade,,,,840.0,0.0,O,Exempt,,,,,,
2656,2.0,,,,1.0,,,,,,,,,,,,,,,,,,1,"Goketsu Co., Ltd.",sub-account,,,,,,,,,,
2656,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
2656,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2657,,,,,,94,2022-03-15,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2657,1.0,,,,,,,,,,"March 15th Slip No. 466 Entry Co., Ltd.",10A100020,Cash and deposits,,,,954219.0,0.0,O,Exempt,10A100090,Accounts receivable - trade,,,,954219.0,0.0,O,Exempt,,,,,,
2657,1.0,,1.0,,,,,,,,,,,30,Mitsui Nagoya,sub-account,,,,,,,,,,,,,,,,,,,
2657,1.0,,,,1.0,,,,,,,,,,,,,,,,,,6,"Entry Co., Ltd.",sub-account,,,,,,,,,,
2657,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2657,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2657,2.0,,,,,,,,,,"March 15th Slip No. 466 Entry Co., Ltd.",10E200690,Commission expenses,,,,840.0,76.0,S10,Standard 10%,10A100090,Accounts receivable - trade,,,,840.0,0.0,O,Exempt,,,,,,
2657,2.0,,,,1.0,,,,,,,,,,,,,,,,,,6,"Entry Co., Ltd.",sub-account,,,,,,,,,,
2657,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,
2657,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2658,,,,,,95,2022-03-15,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2658,1.0,,,,,,,,,,"March 15th Slip No. 467 Tower Co., Ltd.",10A100020,Cash and deposits,,,,681450.0,0.0,O,Exempt,10A100090,Accounts receivable - trade,,,,681450.0,0.0,O,Exempt,,,,,,
2658,1.0,,1.0,,,,,,,,,,,40,Mitsubishi Tokyo Umeda,sub-account,,,,,,,,,,,,,,,,,,,
2658,1.0,,,,1.0,,,,,,,,,,,,,,,,,,8,"Tower Co., Ltd.",sub-account,,,,,,,,,,
2658,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2658,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2658,2.0,,,,,,,,,,"March 15th Slip No. 467 Tower Co., Ltd.",10E200690,Commission expenses,,,,840.0,76.0,S10,Standard 10%,10A100090,Accounts receivable - trade,,,,840.0,0.0,O,Exempt,,,,,,
2658,2.0,,,,1.0,,,,,,,,,,,,,,,,,,8,"Tower Co., Ltd.",sub-account,,,,,,,,,,
2658,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2658,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2659,,,,,,96,2022-03-15,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2659,1.0,,,,,,,,,,"March 15th Slip No. 468 Takahashi Trading Co., Ltd.",10A100020,Cash and deposits,,,,1797978.0,0.0,O,Exempt,10A100090,Accounts receivable - trade,,,,1797978.0,0.0,O,Exempt,,,,,,
2659,1.0,,1.0,,,,,,,,,,,40,Mitsubishi Tokyo Umeda,sub-account,,,,,,,,,,,,,,,,,,,
2659,1.0,,,,1.0,,,,,,,,,,,,,,,,,,9,"Takahashi Trading Co., Ltd.",sub-account,,,,,,,,,,
2659,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2659,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2659,2.0,,,,,,,,,,"March 15th Slip No. 468 Takahashi Trading Co., Ltd.",10E200690,Commission expenses,,,,840.0,76.0,S10,Standard 10%,10A100090,Accounts receivable - trade,,,,840.0,0.0,O,Exempt,,,,,,
2659,2.0,,,,1.0,,,,,,,,,,,,,,,,,,9,"Takahashi Trading Co., Ltd.",sub-account,,,,,,,,,,
2659,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2659,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2660,,,,,,97,2022-03-15,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2660,1.0,,,,,,,,,,"March 15th Slip No. 469 Abe Trading Co., Ltd.",10A100020,Cash and deposits,,,,1025313.0,0.0,O,Exempt,10A100090,Accounts receivable - trade,,,,1025313.0,0.0,O,Exempt,,,,,,
2660,1.0,,1.0,,,,,,,,,,,20,Mizuho Main Branch,sub-account,,,,,,,,,,,,,,,,,,,
2660,1.0,,,,1.0,,,,,,,,,,,,,,,,,,13,"Abe Trading Co., Ltd.",sub-account,,,,,,,,,,
2660,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2660,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2661,,,,,,98,2022-03-15,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
